id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
34,8.0,0.5,0.26,2.0,0.081,12.0,49.0,0.9968,3.19,0.62,9.8,5.0
35,6.6,0.27,0.44,2.8,0.095,16.0,24.0,0.99508,3.4,0.48,9.6,6.0
36,6.3,0.4,0.0,2.1,0.066,8.0,16.0,0.996,3.45,0.62,11.1,5.0
37,10.5,0.29,0.42,2.0,0.081,6.0,23.0,0.9968,3.25,0.64,11.6,6.0
38,8.7,0.36,0.37,2.3,0.09,5.0,16.0,0.99562,3.27,0.54,10.1,5.0
39,7.2,0.6,0.02,1.7,0.074,7.0,22.0,0.99746,3.23,0.54,9.8,5.0
40,7.7,0.65,0.0,1.9,0.079,6.0,17.0,0.9973,3.29,0.49,9.2,5.0
41,11.3,0.74,0.3,7.5,0.078,32.0,65.0,0.9962,3.41,0.58,9.2,5.0
42,9.1,0.51,0.39,2.6,0.084,7.0,42.0,0.99586,3.28,0.73,11.3,6.0
43,6.8,0.5,0.0,2.0,0.0819999999999999,10.0,27.0,0.9976,3.53,0.73,10.4,6.0
44,7.3,0.54,0.17,1.9,0.0819999999999999,10.0,24.0,0.9972,3.39,0.57,9.5,6.0
45,6.8,0.58,0.13,2.4,0.079,7.0,15.0,0.995,3.16,0.62,10.9,5.0
46,10.5,0.39,0.49,2.0,0.087,5.0,14.0,1.0004,3.15,0.64,9.7,6.0
47,8.6,0.5,0.27,2.3,0.087,23.0,46.0,0.9978,3.3,0.69,9.5,5.0
48,6.3,0.66,0.02,2.0,0.078,6.0,19.0,0.9962,3.33,0.56,9.5,5.0
49,9.5,0.53,0.18,2.7,0.079,17.0,40.0,0.9968,3.22,0.58,9.5,5.0
50,8.6,0.835,0.26,1.8,0.084,5.0,15.0,0.9972,3.36,0.54,9.4,8.0
51,6.3,0.5,0.09,2.3,0.079,8.0,20.0,0.99388,3.48,0.61,10.5,4.0
52,10.3,0.32,0.43,2.5,0.075,6.0,20.0,0.9984,3.26,0.76,10.2,6.0
53,9.0,0.36,0.49,1.7,0.072,6.0,20.0,0.9982,3.31,0.73,9.9,5.0
54,6.0,0.55,0.0,2.2,0.077,5.0,19.0,0.99655,3.56,0.74,11.0,4.0
55,6.8,0.65,0.02,1.7,0.071,12.0,36.0,0.9958,3.38,0.53,11.3,6.0
56,7.5,0.38,0.31,2.3,0.074,17.0,54.0,0.99572,3.41,0.87,10.9,6.0
57,7.7,0.66,0.21,2.7,0.092,5.0,13.0,0.9983,3.37,0.54,9.8,6.0
58,10.1,0.24,0.45,2.1,0.084,6.0,21.0,0.9963,3.22,0.62,10.1,6.0
59,8.8,0.24,0.39,2.8,0.067,11.0,31.0,0.99652,3.2,0.79,9.2,5.0
60,7.7,0.69,0.0,1.9,0.069,34.0,75.0,0.9972,3.58,0.66,9.2,6.0
61,7.1,0.73,0.01,1.7,0.071,17.0,61.0,0.99584,3.38,0.54,9.1,5.0
62,6.8,0.62,0.04,1.4,0.079,8.0,23.0,0.9922,3.37,0.56,11.5,7.0
63,8.6,0.31,0.4,2.3,0.0969999999999999,6.0,23.0,0.9986,3.39,0.93,9.5,5.0
64,7.6,0.38,0.12,1.7,0.074,5.0,13.0,0.9966,3.39,0.59,10.1,5.0
65,7.6,0.63,0.0,1.8,0.065,12.0,58.0,0.9991,3.26,0.94,9.4,6.0
66,7.3,0.59,0.02,2.1,0.076,9.0,32.0,0.9972,3.4,0.52,12.7,7.0
67,7.7,0.31,0.34,2.2,0.074,20.0,51.0,0.99586,3.49,0.59,10.0,7.0
68,8.6,0.39,0.41,2.4,0.073,3.0,9.0,0.9972,3.33,0.62,10.8,6.0
69,6.8,0.58,0.02,2.3,0.073,13.0,45.0,0.99562,3.56,0.58,9.2,5.0
70,6.6,0.57,0.0,2.6,0.084,10.0,19.0,0.9998,3.68,0.54,10.4,5.0
71,10.1,0.42,0.42,2.3,0.088,15.0,28.0,0.9978,3.19,0.54,11.2,5.0
72,11.4,0.66,0.4,1.9,0.079,6.0,15.0,0.9994,3.35,0.54,9.3,5.0
73,8.5,0.41,0.31,2.8,0.077,8.0,17.0,0.99682,3.22,0.62,9.2,5.0
74,8.1,0.38,0.34,2.4,0.084,10.0,41.0,0.9972,3.31,0.62,9.3,5.0
75,7.7,0.31,0.32,2.0,0.074,12.0,65.0,0.99578,3.37,0.5,9.4,5.0
76,7.6,0.46,0.14,2.1,0.093,14.0,64.0,0.997,3.39,0.72,9.2,7.0
77,7.7,0.61,0.07,2.5,0.063,17.0,94.0,0.9952,3.38,0.59,9.3,5.0
78,8.4,0.39,0.1,2.0,0.0819999999999999,10.0,28.0,0.9962,3.28,0.53,9.6,5.0
79,8.1,0.52,0.32,2.3,0.0819999999999999,21.0,42.0,0.9986,3.15,0.58,12.5,5.0
80,8.6,0.57,0.08,2.2,0.085,3.0,13.0,0.9976,3.2,0.57,9.4,5.0
81,6.9,0.59,0.01,2.1,0.089,6.0,16.0,0.99448,3.44,0.5,11.8,6.0
82,8.9,0.54,0.0,2.2,0.074,3.0,11.0,0.9965,3.37,0.54,11.6,6.0
83,8.8,0.6,0.25,2.1,0.083,16.0,25.0,0.999,3.36,0.78,11.3,6.0
84,8.3,0.6,0.24,2.4,0.102,10.0,28.0,0.9994,3.09,0.53,11.6,6.0
85,10.9,0.33,0.63,2.2,0.0579999999999999,5.0,16.0,0.99668,3.14,0.81,12.8,6.0
86,7.1,0.6,0.07,2.5,0.079,12.0,24.0,0.9965,3.42,0.82,9.3,6.0
87,7.4,0.57,0.02,1.8,0.088,5.0,10.0,0.99642,3.31,0.74,9.2,5.0
88,9.9,0.33,0.44,2.0,0.079,16.0,44.0,0.9982,3.3,0.66,11.4,6.0
89,6.8,0.6,0.0,2.2,0.088,14.0,25.0,0.99488,3.36,0.58,10.0,6.0
90,8.4,0.48,0.24,2.3,0.089,52.0,52.0,0.9978,3.16,1.17,10.5,7.0
91,9.1,0.48,0.49,2.5,0.083,6.0,19.0,0.99787,3.21,0.93,10.7,5.0
92,11.3,0.46,0.49,2.1,0.093,8.0,26.0,0.99708,3.3,0.64,11.6,7.0
93,9.3,0.34,0.44,2.3,0.098,6.0,15.0,0.9984,3.31,0.76,10.8,5.0
94,7.0,0.685,0.21,1.8,0.084,13.0,24.0,0.99531,3.36,0.63,9.4,6.0
95,9.9,0.49,0.1,1.9,0.0819999999999999,10.0,20.0,0.99655,3.34,0.57,9.8,6.0
96,9.3,0.49,0.08,2.0,0.062,19.0,27.0,0.9962,3.34,0.49,9.2,5.0
97,9.8,0.4,0.48,2.1,0.092,9.0,28.0,0.99472,3.15,0.67,11.4,5.0
98,7.7,0.57,0.0,2.5,0.077,20.0,49.0,0.99656,3.34,0.64,9.4,5.0
99,7.2,0.3,0.2,2.2,0.077,15.0,58.0,0.99645,3.34,0.6,9.4,6.0
100,6.9,0.65,0.02,2.3,0.08,27.0,65.0,0.9976,3.51,0.54,9.4,6.0
101,9.3,0.45,0.49,2.1,0.094,10.0,28.0,0.9958,3.21,0.57,10.9,8.0
102,8.1,0.52,0.25,1.8,0.066,6.0,20.0,0.998,3.21,0.55,9.5,6.0
103,9.3,0.3,0.39,2.5,0.077,6.0,17.0,0.9982,3.31,0.49,11.8,8.0
104,7.0,0.58,0.01,1.8,0.071,8.0,38.0,0.99562,3.3,0.58,9.4,4.0
105,7.9,0.31,0.56,2.2,0.0969999999999999,5.0,17.0,0.99586,3.14,0.82,11.3,6.0
106,8.8,0.56,0.21,2.3,0.0579999999999999,21.0,46.0,0.9958,3.37,0.62,9.5,5.0
107,9.2,0.32,0.49,3.0,0.077,13.0,31.0,0.99774,3.16,0.53,9.3,5.0
108,10.4,0.38,0.3,2.3,0.078,10.0,35.0,0.9966,3.28,0.58,9.5,5.0
109,7.5,0.715,0.0,2.1,0.086,24.0,46.0,0.996,3.47,0.79,10.5,5.0
110,9.1,0.43,0.46,2.4,0.077,5.0,19.0,0.9982,3.36,0.79,9.6,5.0
111,10.6,0.52,0.44,2.2,0.074,27.0,60.0,0.9961,3.15,0.48,11.4,6.0
112,7.2,0.715,0.0,2.1,0.068,11.0,45.0,0.9986,3.42,0.57,11.0,7.0
113,7.8,0.31,0.22,2.0,0.091,18.0,86.0,0.9959,3.37,0.57,9.4,5.0
114,8.2,0.33,0.34,1.8,0.042,21.0,49.0,0.99578,3.07,0.75,11.8,6.0
115,6.4,0.63,0.01,2.1,0.078,8.0,18.0,0.99462,3.52,0.57,11.2,7.0
116,10.4,0.38,0.4,2.1,0.078,9.0,47.0,0.9963,3.39,0.68,9.1,6.0
117,8.6,0.6,0.14,2.2,0.095,10.0,25.0,0.9973,3.23,0.55,10.8,6.0
118,7.0,0.39,0.28,2.5,0.067,14.0,27.0,0.9994,3.51,0.71,11.4,7.0
119,7.8,0.5,0.0,1.9,0.078,7.0,16.0,0.99584,3.39,0.63,9.7,6.0
120,5.1,0.58,0.0,2.3,0.096,12.0,67.0,0.99704,3.43,0.56,11.4,6.0
121,9.0,0.44,0.33,2.2,0.09,12.0,35.0,0.9981,3.26,0.57,11.4,5.0
122,11.9,0.38,0.42,2.1,0.078,13.0,81.0,0.99824,3.13,0.64,9.5,5.0
123,7.2,0.58,0.0,1.4,0.071,9.0,22.0,0.99564,3.39,0.55,11.4,6.0
124,7.2,0.56,0.24,2.6,0.063,19.0,60.0,0.99458,3.3,0.62,10.3,6.0
125,7.9,0.58,0.05,2.3,0.074,18.0,42.0,0.9958,3.22,0.56,9.9,5.0
126,9.5,0.31,0.47,1.9,0.0559999999999999,5.0,22.0,0.99656,3.42,0.59,10.5,5.0
127,7.8,0.58,0.0,2.0,0.069,3.0,12.0,0.99572,3.41,0.46,9.5,5.0
128,7.0,0.51,0.21,2.0,0.078,18.0,91.0,0.9966,3.24,0.54,9.5,6.0
129,8.6,0.49,0.49,2.4,0.084,17.0,44.0,0.9982,3.22,0.62,10.3,5.0
130,8.9,0.38,0.42,2.0,0.091,15.0,35.0,0.9955,3.29,0.8,9.8,5.0
131,7.8,0.37,0.25,2.4,0.083,16.0,35.0,0.99498,3.47,0.56,9.2,4.0
132,7.6,0.52,0.3,2.2,0.076,6.0,23.0,0.9966,3.34,0.6,9.5,5.0
133,7.0,0.41,0.32,2.1,0.0819999999999999,14.0,65.0,0.9968,3.32,0.72,9.6,5.0
134,7.4,0.49,0.0,2.0,0.074,6.0,14.0,0.9976,3.41,0.53,9.8,5.0
135,7.6,0.54,0.06,1.5,0.069,15.0,46.0,0.99557,3.16,0.53,9.5,5.0
136,7.6,0.54,0.02,2.0,0.083,17.0,46.0,0.99588,3.34,0.76,9.5,6.0
137,8.4,0.55,0.15,2.6,0.073,9.0,29.0,0.99492,3.38,0.58,9.2,5.0
138,6.7,0.655,0.02,2.0,0.091,8.0,19.0,0.99546,3.29,0.56,11.1,6.0
139,7.8,0.61,0.04,2.8,0.078,12.0,74.0,0.9956,3.41,0.49,9.4,5.0
140,7.2,0.57,0.04,1.8,0.08,9.0,28.0,0.99746,3.26,0.6,9.5,6.0
141,8.8,0.61,0.19,1.8,0.078,26.0,54.0,0.9973,3.35,0.63,9.8,5.0
142,7.2,0.87,0.02,2.3,0.061,17.0,44.0,0.99489,3.41,0.63,11.3,6.0
143,8.8,0.655,0.14,2.1,0.071,19.0,49.0,0.9964,3.32,0.69,9.0,5.0
144,6.9,0.57,0.04,2.0,0.074,11.0,24.0,0.9962,3.53,0.49,9.4,5.0
145,8.4,0.39,0.49,1.8,0.084,17.0,26.0,0.9964,3.28,0.62,9.3,6.0
146,7.0,0.32,0.36,2.5,0.078,4.0,12.0,0.9966,3.27,0.64,9.0,5.0
147,8.9,0.44,0.25,2.1,0.087,25.0,49.0,0.9986,3.14,0.72,11.2,6.0
148,7.8,0.85,0.04,1.2,0.064,16.0,86.0,0.9982,3.62,0.52,9.0,5.0
149,8.2,0.51,0.34,2.5,0.046,9.0,26.0,0.99702,3.17,0.81,9.8,6.0
150,7.4,0.33,0.31,2.1,0.07,16.0,47.0,0.99736,3.29,0.54,9.4,6.0
151,6.7,0.4,0.02,1.8,0.07,22.0,119.0,0.9973,3.43,0.65,9.5,5.0
152,8.9,0.59,0.13,2.2,0.098,12.0,24.0,0.9963,3.45,0.64,9.8,6.0
153,7.3,0.59,0.39,2.3,0.076,28.0,48.0,0.9986,3.38,0.71,9.3,5.0
154,11.6,0.38,0.65,1.8,0.054,15.0,34.0,0.9972,3.28,0.86,11.4,8.0
155,7.4,0.51,0.12,2.4,0.078,14.0,28.0,0.9982,3.41,0.71,9.9,5.0
156,7.7,0.38,0.39,2.8,0.071,13.0,35.0,0.99642,3.28,0.78,10.0,7.0
157,11.7,0.9,0.54,2.1,0.077,3.0,9.0,0.9997,3.21,0.73,9.7,6.0
158,9.6,0.43,0.31,2.0,0.08,19.0,43.0,0.9979,3.27,0.64,11.0,5.0
159,8.6,0.42,0.42,2.4,0.084,7.0,26.0,0.997,3.38,0.77,9.3,7.0
160,8.4,0.43,0.32,2.0,0.078,7.0,31.0,0.9964,3.31,0.61,9.8,5.0
161,7.8,0.52,0.03,1.5,0.069,9.0,16.0,0.9976,3.16,0.63,9.8,6.0
162,7.9,0.6,0.0,1.9,0.0579999999999999,15.0,49.0,0.9963,3.44,0.49,10.5,5.0
163,9.9,0.31,0.63,3.5,0.078,12.0,66.0,0.99467,3.14,0.51,10.6,6.0
164,7.2,0.655,0.1,2.5,0.065,25.0,58.0,0.99498,3.43,0.67,10.5,5.0
165,8.2,0.34,0.31,2.0,0.077,17.0,58.0,0.9988,3.31,0.83,9.4,4.0
166,8.8,0.46,0.4,2.3,0.079,15.0,29.0,0.99458,3.27,0.62,11.0,7.0
167,7.3,0.61,0.11,2.4,0.073,13.0,28.0,0.9962,3.42,0.7,9.2,4.0
168,8.3,0.56,0.23,2.1,0.08,6.0,17.0,0.9973,3.14,0.66,10.1,5.0
169,12.6,0.33,0.42,2.4,0.093,5.0,13.0,0.99702,3.31,0.64,10.4,7.0
170,9.0,0.43,0.33,1.9,0.0819999999999999,6.0,17.0,0.9982,3.28,0.8,9.7,6.0
171,7.7,0.51,0.07,2.3,0.078,11.0,40.0,0.9971,3.32,0.59,9.4,5.0
172,7.1,0.59,0.08,2.7,0.061,6.0,15.0,0.9962,3.37,0.58,10.5,6.0
173,8.2,0.57,0.0,2.0,0.081,6.0,16.0,0.9956,3.16,0.7,9.4,6.0
174,7.5,0.53,0.0,2.1,0.081,6.0,15.0,0.99374,3.35,0.63,10.4,6.0
175,7.3,0.64,0.03,2.2,0.079,20.0,61.0,0.9965,3.39,0.55,10.4,5.0
176,7.1,0.59,0.14,2.7,0.069,18.0,49.0,0.9952,3.52,0.62,10.9,6.0
177,6.9,0.4,0.06,2.2,0.067,31.0,67.0,0.9962,3.41,0.74,9.8,5.0
178,6.3,0.56,0.04,1.4,0.08,5.0,10.0,0.99516,3.47,0.54,10.3,7.0
179,11.4,0.38,0.49,2.8,0.064,1.0,28.0,0.9994,3.3,0.76,11.1,7.0
180,7.8,0.69,0.0,2.2,0.081,22.0,105.0,0.9948,3.39,0.58,9.5,5.0
181,7.3,0.55,0.21,2.4,0.078,12.0,86.0,0.99642,3.26,0.54,9.1,5.0
182,9.0,0.58,0.14,2.5,0.09,14.0,47.0,0.9964,3.39,0.62,10.1,8.0
183,7.3,0.43,0.07,1.8,0.0559999999999999,14.0,28.0,0.9955,3.31,0.67,9.8,5.0
184,6.9,0.41,0.32,1.7,0.073,27.0,60.0,0.9991,3.47,0.87,9.8,6.0
185,7.5,0.45,0.32,2.1,0.0969999999999999,8.0,31.0,0.9976,3.38,0.55,9.7,5.0
186,7.3,0.42,0.11,2.1,0.078,16.0,44.0,0.9965,3.27,0.56,9.4,6.0
187,8.9,0.63,0.31,2.1,0.074,10.0,35.0,0.9976,3.25,0.6,10.9,6.0
188,7.0,0.43,0.45,2.1,0.085,25.0,49.0,0.9948,3.36,0.44,9.8,6.0
189,6.9,0.36,0.24,2.4,0.073,18.0,64.0,0.99585,3.28,0.65,10.5,6.0
190,9.9,0.3,0.44,2.0,0.071,6.0,13.0,0.99586,3.27,0.79,10.4,6.0
191,7.5,0.56,0.23,1.9,0.08,19.0,53.0,0.99623,3.31,0.59,9.8,5.0
192,7.8,0.57,0.28,1.7,0.091,13.0,24.0,0.99504,3.19,0.56,9.6,6.0
193,7.3,0.67,0.03,2.66,0.077,3.0,10.0,0.9982,3.46,0.52,9.5,6.0
194,7.0,0.54,0.14,2.2,0.074,13.0,42.0,0.9984,3.36,0.58,9.5,5.0
195,7.2,0.5,0.32,1.8,0.074,19.0,38.0,0.9982,3.22,0.68,9.5,6.0
196,9.2,0.38,0.48,2.2,0.076,21.0,98.0,0.9968,3.26,0.55,9.8,5.0
197,9.0,0.47,0.3,1.6,0.079,5.0,27.0,0.9966,3.42,0.57,10.9,5.0
198,9.1,0.36,0.39,1.7,0.077,17.0,43.0,0.9982,3.16,0.51,10.6,6.0
199,9.0,0.33,0.51,2.3,0.06,6.0,12.0,0.9959,3.14,0.85,11.4,7.0
200,7.8,0.52,0.14,2.2,0.093,5.0,15.0,0.9983,3.39,0.52,9.2,5.0
201,11.5,0.36,0.66,1.6,0.102,3.0,10.0,0.9972,3.21,0.63,10.4,5.0
202,6.4,0.67,0.21,2.3,0.077,7.0,18.0,0.99588,3.46,0.57,11.9,7.0
203,8.5,0.735,0.22,2.6,0.076,7.0,9.0,0.9982,3.57,0.54,9.9,6.0
204,7.3,0.785,0.0,2.3,0.078,8.0,25.0,0.9967,3.45,0.6,9.4,5.0
205,6.2,0.64,0.1,2.3,0.08,5.0,16.0,0.9982,3.45,0.57,10.8,6.0
206,10.8,0.48,0.4,2.7,0.078,6.0,12.0,0.9982,3.29,0.59,10.5,6.0
207,7.3,0.43,0.3,1.8,0.077,19.0,44.0,0.99572,3.41,0.49,9.8,5.0
208,6.3,0.48,0.12,2.3,0.064,7.0,16.0,0.99498,3.44,0.81,10.5,6.0
209,7.2,0.59,0.0,2.7,0.075,23.0,49.0,0.99498,3.39,0.61,12.5,6.0
210,8.2,0.47,0.31,2.2,0.0969999999999999,14.0,25.0,0.9982,3.22,0.53,11.3,6.0
211,7.8,0.56,0.07,1.6,0.06,17.0,92.0,0.99672,3.39,0.48,9.4,5.0
212,7.1,0.69,0.04,1.4,0.078,6.0,14.0,0.99546,3.53,0.66,11.7,6.0
213,7.1,0.59,0.06,2.0,0.08,5.0,13.0,0.9976,3.35,0.62,9.5,5.0
214,7.2,0.66,0.01,1.7,0.07,12.0,24.0,0.9978,3.49,0.73,9.8,5.0
215,12.8,0.5,0.44,2.4,0.084,8.0,16.0,0.9986,3.22,0.57,10.5,6.0
216,8.6,0.49,0.3,2.0,0.093,6.0,18.0,0.996,3.37,0.58,9.4,5.0
217,7.3,0.49,0.39,2.1,0.073,10.0,25.0,0.99774,3.33,0.52,9.5,5.0
218,6.9,0.35,0.28,2.2,0.089,12.0,20.0,0.99615,3.33,0.54,9.4,5.0
219,7.9,0.69,0.0,2.3,0.077,28.0,52.0,0.99498,3.34,0.64,10.0,5.0
220,6.9,0.55,0.0,2.5,0.066,8.0,20.0,0.9986,3.27,0.69,12.4,5.0
221,11.9,0.67,0.0,2.3,0.071,4.0,13.0,0.9974,3.28,0.64,9.4,5.0
222,9.0,0.38,0.49,2.0,0.0819999999999999,4.0,12.0,0.9986,3.12,0.58,10.5,5.0
223,7.6,0.58,0.22,2.0,0.078,8.0,24.0,0.99572,2.98,0.49,10.1,6.0
224,6.8,0.65,0.0,1.8,0.078,10.0,18.0,0.99668,3.41,0.52,9.5,7.0
225,6.4,0.58,0.02,2.3,0.071,7.0,32.0,0.9996,3.52,0.59,11.1,7.0
226,7.9,0.58,0.3,2.2,0.075,11.0,43.0,0.9977,3.39,0.9,9.8,5.0
227,7.0,0.6,0.2,2.2,0.091,31.0,48.0,0.99498,3.48,0.53,12.0,6.0
228,7.0,0.84,0.03,1.8,0.063,6.0,20.0,0.9962,3.49,0.54,11.0,6.0
229,7.0,0.4,0.17,2.0,0.074,32.0,49.0,0.99562,3.34,0.54,9.6,5.0
230,7.2,0.42,0.32,2.3,0.077,15.0,31.0,0.99588,3.34,0.46,9.5,5.0
231,8.6,0.28,0.44,2.4,0.077,8.0,19.0,0.99472,3.38,0.85,9.5,5.0
232,9.5,0.5,0.24,2.3,0.081,22.0,53.0,0.9967,3.22,0.53,10.0,6.0
233,6.5,0.39,0.35,2.2,0.1009999999999999,24.0,49.0,0.9968,3.51,0.76,9.8,6.0
234,7.7,0.64,0.05,3.0,0.077,4.0,11.0,0.99586,3.47,0.52,9.7,6.0
235,7.1,0.735,0.21,2.6,0.068,8.0,24.0,0.99476,3.2,0.53,10.8,6.0
236,7.9,0.6,0.0,2.5,0.095,4.0,11.0,0.99628,3.16,0.62,11.1,8.0
237,7.6,0.5,0.24,2.8,0.0819999999999999,26.0,44.0,0.99748,3.36,0.59,9.5,5.0
238,7.5,0.715,0.05,2.3,0.074,7.0,25.0,0.9956,3.41,0.74,9.5,6.0
239,11.5,0.5,0.49,2.1,0.09,5.0,15.0,0.9997,3.08,0.55,10.9,5.0
240,9.2,0.3,0.44,2.4,0.074,16.0,86.0,0.9976,3.18,1.11,9.4,5.0
241,8.8,0.57,0.18,1.9,0.0819999999999999,7.0,20.0,0.9966,3.31,0.76,10.8,7.0
242,9.3,0.4,0.2,2.2,0.099,5.0,11.0,0.99786,3.26,0.59,9.4,5.0
243,9.0,0.57,0.19,2.4,0.078,15.0,49.0,0.9982,3.3,0.69,12.2,7.0
244,8.3,0.5,0.49,2.2,0.095,9.0,25.0,0.9972,3.22,0.59,9.2,8.0
245,9.5,0.46,0.49,2.0,0.094,9.0,42.0,0.9971,3.14,0.68,9.3,5.0
246,6.9,0.36,0.24,2.6,0.0819999999999999,15.0,42.0,0.9966,3.43,0.58,10.8,6.0
247,8.2,0.59,0.31,2.1,0.086,10.0,22.0,0.997,2.92,0.53,11.5,6.0
248,10.4,0.34,0.49,2.6,0.079,5.0,14.0,0.9976,3.24,0.73,11.4,7.0
249,8.9,0.34,0.47,2.3,0.091,6.0,15.0,0.99528,3.29,0.87,11.2,6.0
250,10.4,0.36,0.45,2.4,0.071,4.0,12.0,0.9965,3.28,0.64,9.0,6.0
251,9.1,0.745,0.21,2.2,0.077,6.0,23.0,0.9984,3.32,0.72,10.0,6.0
252,7.9,0.55,0.05,2.4,0.073,9.0,26.0,0.9961,3.34,0.57,11.9,5.0
253,8.7,0.63,0.49,2.0,0.094,6.0,17.0,0.99498,3.18,0.62,9.4,6.0
254,6.0,0.6,0.04,2.4,0.074,10.0,18.0,0.99562,3.36,0.48,11.4,6.0
255,7.2,0.64,0.17,2.3,0.076,6.0,28.0,0.9976,3.33,0.57,9.5,7.0
256,8.9,0.39,0.32,2.3,0.075,15.0,40.0,0.9948,3.29,0.56,10.7,6.0
257,8.8,0.55,0.0,2.2,0.094,12.0,21.0,0.9948,3.22,0.52,9.5,5.0
258,7.6,0.42,0.34,2.0,0.0819999999999999,7.0,16.0,0.99743,3.36,0.81,10.7,6.0
259,7.6,0.55,0.02,2.7,0.084,16.0,58.0,0.995,3.34,0.52,9.9,5.0
260,9.2,0.5,0.42,2.0,0.084,17.0,85.0,0.9967,3.24,0.51,9.8,5.0
261,7.1,0.56,0.24,2.0,0.089,6.0,28.0,0.99622,3.38,0.59,9.0,5.0
262,6.7,0.735,0.28,1.8,0.0819999999999999,7.0,22.0,0.9984,3.38,0.57,11.2,7.0
263,6.8,0.57,0.13,1.8,0.068,38.0,57.0,0.99636,3.42,0.61,10.9,6.0
264,6.7,0.35,0.3,2.1,0.081,17.0,41.0,0.9958,3.44,0.78,12.5,6.0
265,9.4,0.38,0.58,2.0,0.087,10.0,22.0,0.9994,3.3,0.54,12.0,6.0
266,7.1,0.46,0.31,2.1,0.07,4.0,8.0,0.9973,3.29,0.77,9.3,5.0
267,9.1,0.31,0.39,3.6,0.08,35.0,104.0,0.99704,3.31,0.49,10.1,6.0
268,9.0,0.51,0.33,2.6,0.08,17.0,90.0,0.9981,3.37,0.65,9.4,5.0
